SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes,GeoID,Geo,Region
SP01,G4,P04,1/1/2021 0:00,8414,276,495,G4,New Zealand,APAC
SP02,G3,P14,1/1/2021 0:00,532,317,54,G3,Canada,Americas
SP12,G2,P08,1/1/2021 0:00,5376,178,269,G2,USA,Americas
SP01,G4,P15,1/1/2021 0:00,259,32,22,G4,New Zealand,APAC
SP19,G2,P18,1/1/2021 0:00,5530,4,179,G2,USA,Americas
SP17,G1,P13,1/1/2021 0:00,2184,63,122,G1,India,APAC
SP20,G6,P04,1/1/2021 0:00,1057,295,71,G6,UK,Europe
SP14,G5,P16,1/1/2021 0:00,1036,370,37,G5,Australia,APAC
SP10,G5,P17,1/1/2021 0:00,4039,536,176,G5,Australia,APAC
SP06,G4,P01,1/1/2021 0:00,12894,115,478,G4,New Zealand,APAC
SP18,G2,P01,1/1/2021 0:00,4669,121,180,G2,USA,Americas
SP04,G4,P16,1/1/2021 0:00,6377,184,246,G4,New Zealand,APAC
SP22,G3,P05,1/1/2021 0:00,4599,106,256,G3,Canada,Americas
SP22,G2,P09,1/1/2021 0:00,2751,228,251,G2,USA,Americas
SP10,G1,P06,1/1/2021 0:00,15596,32,975,G1,India,APAC
SP06,G1,P11,1/1/2021 0:00,8561,111,330,G1,India,APAC
SP25,G6,P05,1/1/2021 0:00,14273,335,752,G6,UK,Europe
SP02,G4,P13,1/1/2021 0:00,2506,99,148,G4,New Zealand,APAC
SP19,G3,P10,1/1/2021 0:00,2387,134,89,G3,Canada,Americas
SP09,G2,P07,1/1/2021 0:00,7553,67,280,G2,USA,Americas
SP22,G4,P22,1/1/2021 0:00,3409,93,171,G4,New Zealand,APAC
SP15,G2,P22,1/1/2021 0:00,3878,24,216,G2,USA,Americas
SP12,G2,P04,1/1/2021 0:00,3052,76,204,G2,USA,Americas
SP18,G2,P21,1/4/2021 0:00,19229,64,1013,G2,USA,Americas
SP15,G6,P21,1/4/2021 0:00,1988,179,95,G6,UK,Europe
SP12,G6,P09,1/4/2021 0:00,147,9,11,G6,UK,Europe
SP20,G6,P12,1/4/2021 0:00,2401,407,134,G6,UK,Europe
SP11,G2,P17,1/4/2021 0:00,2814,296,94,G2,USA,Americas
SP06,G6,P17,1/4/2021 0:00,5390,61,216,G6,UK,Europe
SP23,G3,P02,1/4/2021 0:00,3920,16,262,G3,Canada,Americas
SP19,G3,P19,1/4/2021 0:00,7539,502,943,G3,Canada,Americas
SP23,G1,P16,1/5/2021 0:00,17248,163,664,G1,India,APAC
SP18,G6,P03,1/5/2021 0:00,1176,152,66,G6,UK,Europe
SP17,G5,P13,1/5/2021 0:00,9730,361,573,G5,Australia,APAC
SP16,G4,P13,1/5/2021 0:00,2226,129,140,G4,New Zealand,APAC
SP18,G6,P12,1/5/2021 0:00,7063,250,643,G6,UK,Europe
SP07,G4,P11,1/5/2021 0:00,7399,420,275,G4,New Zealand,APAC
SP04,G2,P09,1/5/2021 0:00,4284,230,306,G2,USA,Americas
SP07,G4,P04,1/5/2021 0:00,4865,168,271,G4,New Zealand,APAC
SP06,G4,P19,1/5/2021 0:00,3780,111,315,G4,New Zealand,APAC
SP13,G1,P09,1/5/2021 0:00,3059,484,279,G1,India,APAC
SP11,G6,P11,1/5/2021 0:00,6622,57,276,G6,UK,Europe
SP04,G1,P20,1/6/2021 0:00,644,116,34,G1,India,APAC
SP08,G1,P11,1/6/2021 0:00,4935,87,171,G1,India,APAC
SP13,G6,P22,1/6/2021 0:00,7182,29,378,G6,UK,Europe
SP09,G5,P09,1/6/2021 0:00,539,10,77,G5,Australia,APAC
SP20,G6,P19,1/6/2021 0:00,637,79,91,G6,UK,Europe
SP07,G2,P15,1/6/2021 0:00,1470,57,184,G2,USA,Americas
SP10,G2,P13,1/6/2021 0:00,1442,108,61,G2,USA,Americas
SP11,G2,P20,1/6/2021 0:00,9023,224,564,G2,USA,Americas
SP03,G6,P01,1/6/2021 0:00,2709,27,101,G6,UK,Europe
SP19,G3,P21,1/7/2021 0:00,5733,193,338,G3,Canada,Americas
SP05,G3,P02,1/7/2021 0:00,10451,155,1307,G3,Canada,Americas
SP18,G1,P18,1/7/2021 0:00,11228,236,388,G1,India,APAC
SP15,G6,P17,1/7/2021 0:00,3073,137,129,G6,UK,Europe
SP09,G5,P13,1/7/2021 0:00,5467,109,288,G5,Australia,APAC
SP08,G2,P20,1/7/2021 0:00,4067,272,226,G2,USA,Americas
SP02,G1,P05,1/8/2021 0:00,2814,69,149,G1,India,APAC
SP24,G4,P17,1/8/2021 0:00,2716,299,105,G4,New Zealand,APAC
SP22,G5,P09,1/8/2021 0:00,3570,61,325,G5,Australia,APAC
SP12,G1,P13,1/8/2021 0:00,9562,123,479,G1,India,APAC
SP17,G4,P22,1/8/2021 0:00,2373,2,104,G4,New Zealand,APAC
SP08,G1,P17,1/8/2021 0:00,2807,236,123,G1,India,APAC
SP10,G2,P01,1/8/2021 0:00,420,196,14,G2,USA,Americas
SP06,G2,P04,1/8/2021 0:00,8239,157,515,G2,USA,Americas
SP05,G4,P02,1/8/2021 0:00,6797,114,486,G4,New Zealand,APAC
SP22,G4,P13,1/8/2021 0:00,6048,56,319,G4,New Zealand,APAC
SP05,G5,P04,1/8/2021 0:00,364,14,21,G5,Australia,APAC
SP19,G5,P14,1/8/2021 0:00,6496,15,406,G5,Australia,APAC
SP24,G2,P09,1/8/2021 0:00,1057,45,106,G2,USA,Americas
SP08,G6,P04,1/8/2021 0:00,357,185,17,G6,UK,Europe
SP08,G5,P07,1/8/2021 0:00,6419,359,257,G5,Australia,APAC
SP08,G3,P10,1/8/2021 0:00,12726,179,579,G3,Canada,Americas
SP16,G2,P13,1/11/2021 0:00,6006,109,376,G2,USA,Americas
SP15,G6,P08,1/11/2021 0:00,5124,33,285,G6,UK,Europe
SP23,G4,P01,1/11/2021 0:00,2709,188,113,G4,New Zealand,APAC
SP01,G5,P01,1/11/2021 0:00,7238,67,315,G5,Australia,APAC
SP06,G1,P14,1/12/2021 0:00,6776,68,424,G1,India,APAC
SP11,G6,P01,1/12/2021 0:00,189,123,8,G6,UK,Europe
SP08,G2,P12,1/12/2021 0:00,4669,217,390,G2,USA,Americas
SP01,G3,P19,1/12/2021 0:00,490,188,35,G3,Canada,Americas
SP08,G5,P19,1/12/2021 0:00,4235,76,283,G5,Australia,APAC
SP13,G2,P07,1/12/2021 0:00,4487,161,187,G2,USA,Americas
SP02,G3,P15,1/12/2021 0:00,2653,147,332,G3,Canada,Americas
SP04,G4,P10,1/12/2021 0:00,5306,5,253,G4,New Zealand,APAC
SP16,G2,P02,1/12/2021 0:00,6888,112,689,G2,USA,Americas
SP08,G4,P16,1/12/2021 0:00,721,45,24,G4,New Zealand,APAC
SP14,G1,P10,1/12/2021 0:00,8610,124,345,G1,India,APAC
SP10,G2,P12,1/12/2021 0:00,11739,22,903,G2,USA,Americas
SP16,G1,P09,1/13/2021 0:00,4774,206,341,G1,India,APAC
SP10,G3,P02,1/13/2021 0:00,6307,123,789,G3,Canada,Americas
SP21,G3,P08,1/13/2021 0:00,4340,168,217,G3,Canada,Americas
SP09,G1,P19,1/13/2021 0:00,1078,76,77,G1,India,APAC
SP13,G6,P03,1/13/2021 0:00,5418,287,247,G6,UK,Europe
SP03,G2,P21,1/13/2021 0:00,6069,268,434,G2,USA,Americas
SP15,G2,P21,1/13/2021 0:00,12334,119,686,G2,USA,Americas
SP08,G6,P07,1/13/2021 0:00,728,234,32,G6,UK,Europe
SP21,G1,P15,1/13/2021 0:00,2135,179,165,G1,India,APAC
SP07,G4,P13,1/13/2021 0:00,2121,130,89,G4,New Zealand,APAC
SP12,G6,P01,1/14/2021 0:00,6881,10,222,G6,UK,Europe
SP24,G4,P07,1/14/2021 0:00,1239,97,50,G4,New Zealand,APAC
SP16,G5,P05,1/14/2021 0:00,3598,365,257,G5,Australia,APAC
SP18,G3,P20,1/14/2021 0:00,6580,210,347,G3,Canada,Americas
SP08,G6,P10,1/14/2021 0:00,1127,97,54,G6,UK,Europe
SP22,G1,P22,1/14/2021 0:00,3605,345,139,G1,India,APAC
SP09,G4,P11,1/14/2021 0:00,5096,201,196,G4,New Zealand,APAC
SP25,G2,P08,1/14/2021 0:00,2135,183,98,G2,USA,Americas
SP13,G2,P04,1/14/2021 0:00,35,142,3,G2,USA,Americas
SP11,G1,P19,1/14/2021 0:00,13090,17,935,G1,India,APAC
SP05,G6,P20,1/14/2021 0:00,15785,209,1128,G6,UK,Europe
SP20,G5,P12,1/14/2021 0:00,14574,86,810,G5,Australia,APAC
SP11,G4,P17,1/14/2021 0:00,3556,195,143,G4,New Zealand,APAC
SP02,G2,P12,1/14/2021 0:00,14532,142,969,G2,USA,Americas
SP23,G4,P17,1/14/2021 0:00,4445,340,159,G4,New Zealand,APAC
SP17,G2,P01,1/14/2021 0:00,10339,207,357,G2,USA,Americas
SP03,G4,P11,1/14/2021 0:00,1351,282,55,G4,New Zealand,APAC
SP02,G4,P15,1/14/2021 0:00,4011,260,335,G4,New Zealand,APAC
SP17,G6,P12,1/14/2021 0:00,5306,333,483,G6,UK,Europe
SP24,G2,P11,1/14/2021 0:00,18704,78,585,G2,USA,Americas
SP21,G3,P20,1/14/2021 0:00,9310,62,582,G3,Canada,Americas
SP04,G4,P06,1/14/2021 0:00,1211,37,61,G4,New Zealand,APAC
SP09,G3,P04,1/15/2021 0:00,3094,317,148,G3,Canada,Americas
SP17,G4,P04,1/15/2021 0:00,4949,244,248,G4,New Zealand,APAC
SP06,G4,P08,1/15/2021 0:00,308,91,19,G4,New Zealand,APAC
SP11,G1,P17,1/15/2021 0:00,7546,49,329,G1,India,APAC
SP12,G2,P13,1/15/2021 0:00,6713,422,373,G2,USA,Americas
SP14,G4,P17,1/15/2021 0:00,6895,318,300,G4,New Zealand,APAC
SP02,G4,P05,1/15/2021 0:00,3430,120,202,G4,New Zealand,APAC
SP21,G4,P14,1/18/2021 0:00,4165,61,348,G4,New Zealand,APAC
SP25,G1,P03,1/18/2021 0:00,2380,209,159,G1,India,APAC
SP03,G6,P14,1/18/2021 0:00,6594,114,413,G6,UK,Europe
SP04,G5,P04,1/18/2021 0:00,1428,55,76,G5,Australia,APAC
SP19,G5,P07,1/18/2021 0:00,2646,150,116,G5,Australia,APAC
SP10,G1,P01,1/18/2021 0:00,238,364,11,G1,India,APAC
SP24,G5,P04,1/18/2021 0:00,945,298,50,G5,Australia,APAC
SP11,G6,P10,1/18/2021 0:00,9436,102,337,G6,UK,Europe
SP17,G2,P10,1/18/2021 0:00,4081,116,152,G2,USA,Americas
SP04,G2,P08,1/18/2021 0:00,10556,25,587,G2,USA,Americas
SP01,G2,P14,1/18/2021 0:00,2331,38,167,G2,USA,Americas
SP11,G3,P16,1/19/2021 0:00,896,346,32,G3,Canada,Americas
SP20,G1,P18,1/19/2021 0:00,4214,314,169,G1,India,APAC
SP20,G3,P09,1/19/2021 0:00,2121,90,177,G3,Canada,Americas
SP23,G1,P13,1/19/2021 0:00,1029,386,47,G1,India,APAC
SP08,G1,P05,1/19/2021 0:00,15407,103,771,G1,India,APAC
SP03,G4,P17,1/19/2021 0:00,10129,134,406,G4,New Zealand,APAC
SP13,G2,P20,1/19/2021 0:00,16380,203,1092,G2,USA,Americas
SP24,G1,P14,1/19/2021 0:00,3899,102,279,G1,India,APAC
SP05,G3,P10,1/19/2021 0:00,12075,264,432,G3,Canada,Americas
